stop month,station id,number of bikes,avg trip duration,station name,latitude,longitude
January,303.0,1736,895.1296082949309,Mercer St & Spring St,40.72362738,-73.99949601
January,304.0,2898,962.9975845410628,Broadway & Battery Pl,40.70463334,-74.01361706
January,305.0,2480,802.3717741935484,E 58 St & 3 Ave,40.76095756,-73.96724467
January,307.0,3144,673.0906488549618,Canal St & Rutgers St,40.71427487,-73.98990025
January,308.0,1345,608.3159851301115,St James Pl & Oliver St,40.71307916,-73.99851193
January,309.0,1737,737.516983304548,Murray St & West St,40.7149787,-74.013012
January,310.0,977,640.5220061412488,State St & Smith St,40.68926942,-73.98912867
January,311.0,2099,623.0009528346832,Norfolk St & Broome St,40.7172274,-73.98802084
January,312.0,3276,727.339133089133,Allen St & Stanton St,40.722055,-73.989111
January,313.0,803,689.6749688667497,Washington Ave & Park Ave,40.69610226,-73.96751037
January,314.0,1249,615.3314651721377,Cadman Plaza West & Montague St,40.69383,-73.990539
January,315.0,1668,945.1193045563549,South St & Gouverneur Ln,40.70355377,-74.00670227
January,316.0,2011,768.6499254102437,Fulton St & William St,40.70955958,-74.00653609
January,317.0,2133,579.0914205344585,E 6 St & Avenue B,40.72453734,-73.98185424
January,319.0,2382,838.0982367758187,Fulton St & Broadway,40.711065999999995,-74.009447
January,320.0,1345,791.1397769516728,Leonard St & Church St,40.717571,-74.005549
January,321.0,1101,954.7184377838329,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773
January,323.0,1306,701.3499234303216,Lawrence St & Willoughby St,40.69236178,-73.98631746
January,324.0,2322,453.95994832041345,DeKalb Ave & Hudson Ave,40.689888,-73.981013
January,325.0,2440,655.3331967213114,E 19 St & 3 Ave,40.73624527,-73.98473765
January,326.0,3077,615.8537536561586,E 11 St & 1 Ave,40.72953837,-73.98426726
January,327.0,2902,770.7284631288767,Vesey Pl & River Terrace,40.715337899999994,-74.01658354
January,328.0,1810,711.607182320442,Watts St & Greenwich St,40.72405549,-74.00965965
January,330.0,1446,845.1964038727524,Reade St & Broadway,40.71450451,-74.00562789
January,331.0,1128,706.0372340425532,Pike St & Monroe St,40.71173107,-73.99193043
January,332.0,860,846.2255813953489,Cherry St,40.71219906,-73.97948148
January,334.0,2964,598.1929824561404,W 20 St & 7 Ave,40.74238787,-73.99726235
January,335.0,2049,665.5119570522206,Washington Pl & Broadway,40.72903917,-73.99404649
January,336.0,1931,697.7400310719835,Sullivan St & Washington Sq,40.73047747,-73.99906065
