month,Age Ranges,gender,number of bikes,avg trip duration
June,70+,0,72,702.9861111111111
June,70+,1,9963,828.9589481079996
June,70+,2,3202,989.29013116802
July,<20,0,403,1496.6550868486352
July,<20,1,33969,1182.5017221584385
July,<20,2,11492,1994.014444831187
July,20-29,0,6241,1119.3430539977567
July,20-29,1,453950,901.8215596431326
July,20-29,2,207670,1108.189844464776
July,30-39,0,5531,976.4087868378232
July,30-39,1,459897,844.0848298640783
July,30-39,2,163297,994.2497535165986
July,40-49,0,182030,2329.04003186288
July,40-49,1,249462,832.9083146932198
July,40-49,2,78798,968.4786288992107
July,50-59,0,1310,886.5770992366412
July,50-59,1,171715,824.9588445971523
July,50-59,2,61402,955.5817237223544
July,60-69,0,311,835.9549839228296
July,60-69,1,61449,878.7828931308891
July,60-69,2,17617,920.5610489867742
July,70+,0,90,795.9777777777778
July,70+,1,10018,792.5901377520463
July,70+,2,3414,933.4970708845929
August,<20,0,565,1522.9132743362832
August,<20,1,35911,1215.4845033555177
August,<20,2,12580,1697.7578696343403
August,20-29,0,6876,976.6858638743455
August,20-29,1,504059,899.6641286039928
August,20-29,2,234203,1133.844835463252
August,30-39,0,6072,949.2233201581028
August,30-39,1,488577,853.1921457620805
August,30-39,2,176041,1001.4371652058327
August,40-49,0,210038,2311.6052380997726
August,40-49,1,254187,849.568424034274
August,40-49,2,80809,994.6305857020876
August,50-59,0,1331,1084.4996243425996
August,50-59,1,174719,831.9134267023048
August,50-59,2,62611,1003.2243695197329
August,60-69,0,404,830.1435643564356
August,60-69,1,62179,822.5852458225446
August,60-69,2,18546,901.1577159495309
August,70+,0,52,854.9230769230769
August,70+,1,10105,802.922711528946
August,70+,2,3381,791.9577048210589
September,<20,0,744,1333.899193548387
September,<20,1,41051,1063.212711018002
September,<20,2,12485,1210.3372046455747
September,20-29,0,7195,1089.7321751216123
September,20-29,1,521195,898.682009612525
September,20-29,2,242871,1053.1825537013476
September,30-39,0,6668,920.8345830833833
September,30-39,1,493407,854.6292898155073
September,30-39,2,181703,982.4361292879039
September,40-49,0,189250,2211.4653051519153
September,40-49,1,284472,838.7297062628307
September,40-49,2,94517,1007.9617211718527
September,50-59,0,1360,951.114705882353
September,50-59,1,193906,835.7337421224718
September,50-59,2,70602,1013.641327441149
September,60-69,0,498,1086.4799196787149
September,60-69,1,66507,847.8001864465394
September,60-69,2,20821,941.7510206041977
September,70+,0,72,761.2777777777778
September,70+,1,10937,809.9574837706866
September,70+,2,3626,794.0510204081633
October,<20,0,723,999.0248962655602
October,<20,1,36950,914.8843301759134
October,<20,2,11100,1203.8252252252253
October,20-29,0,6206,906.510312600709
October,20-29,1,453500,822.4321411245866
October,20-29,2,190879,981.08467144107
October,30-39,0,6207,849.499597228935
October,30-39,1,429828,791.6184985622156
October,30-39,2,148055,915.541062443011
October,40-49,0,138768,1925.568423555863
October,40-49,1,257283,804.1128212901747
October,40-49,2,79957,892.4951536450842
October,50-59,0,1220,897.377868852459
October,50-59,1,177342,787.5291639882262
October,50-59,2,60993,918.9850802551113
October,60-69,0,372,1092.4247311827958
October,60-69,1,60159,807.1287920344421
October,60-69,2,18363,879.987583728149
October,70+,0,74,995.6351351351351
October,70+,1,10364,802.1809147047472
October,70+,2,3310,761.690332326284
November,<20,0,474,795.8649789029536
November,<20,1,25619,912.6326164175026
November,<20,2,6681,1048.0974405029187
November,20-29,0,4368,865.114010989011
November,20-29,1,314166,773.5947397235856
November,20-29,2,122117,891.8231040723241
November,30-39,0,4641,813.8946347769877
November,30-39,1,307364,717.3886564464283
November,30-39,2,100202,805.9357697451148
November,40-49,0,74111,1896.9967886008824
November,40-49,1,195324,769.140632999529
November,40-49,2,58364,869.068878075526
November,50-59,0,886,1727.9266365688488
November,50-59,1,140828,739.0663930468372
November,50-59,2,46171,878.2985423750839
November,60-69,0,400,848.605
November,60-69,1,50926,742.7600243490555
November,60-69,2,14454,845.8024768230248
November,70+,0,31,666.4193548387096
November,70+,1,7979,731.4478004762501
November,70+,2,3003,670.5544455544456
December,<20,0,64,1128.875
December,<20,1,9906,972.1996769634565
December,<20,2,2654,1017.199698568199
December,20-29,0,2123,831.9284032030146
December,20-29,1,190666,761.238186147504
December,20-29,2,62644,881.6350328842348
December,30-39,0,2727,794.4286762009534
December,30-39,1,234885,718.2240543244567
December,30-39,2,67861,856.473305727885
December,40-49,0,40238,2053.125503255629
December,40-49,1,150447,757.7094059702088
December,40-49,2,42391,803.0240617112123
December,50-59,0,712,639.7275280898876
December,50-59,1,111546,731.5891560432467
December,50-59,2,34244,881.6400829342366
December,60-69,0,215,734.7302325581395
December,60-69,1,42081,763.0322235688316
December,60-69,2,11742,834.2429739397036
December,70+,0,28,464.5357142857143
December,70+,1,6388,936.6064495929869
December,70+,2,2098,813.6711153479504
